time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,6.09750249026e-08,-5.05709011776e-08,10.0033713028,6.28285026471,6.28286446339,0.0,1.55427451746e-05,-1.5575446461e-05,0.112371557645,-0.0201290350107,-0.0190746537527,0.0,441.3506393248538,439.77386678622594,441.8828004539933,440.2207119111307
0.12000000000000001,1.29570874994e-05,-1.33526920307e-05,10.0149593331,6.28183493906,6.28174952226,0.0,0.000539829493644,-0.000550587540914,0.273870321277,-0.011176468267,-0.0176155602004,0.0,455.8853642715243,456.0019796222199,455.7409168267591,456.45587572456253
0.18,8.69093501522e-05,-8.25699448487e-05,10.0391784004,6.28194386925,6.28063373344,0.0,0.00206148774269,-0.00178176998049,0.533346437463,0.0198028636655,-0.0206341151082,0.0,484.91288674486447,484.6862024616457,483.99779391118847,486.32340097699586
0.23999999999999996,0.000280453451012,-0.000215275348504,10.0787740002,6.28312771467,6.27967941163,0.0,0.00452454386481,-0.00249374964086,0.786366916834,0.0195861637011,-0.00781721021913,0.0,483.029431641179,483.99498395749623,483.19937382639756,483.18297161564584
0.3,0.000623297981368,-0.000361714955356,10.1281413359,0.000725168961791,6.27905553819,0.0,0.00695639135509,-0.00228667943384,0.859158428949,-0.00512117075649,-0.0161358988124,0.0,429.5829448653583,428.8771843600578,429.47367303181124,427.37314013986685
0.36000000000000004,0.00113911158323,-0.000482014169373,10.1848561463,0.00141416828404,6.2777972189,0.0,0.0103595360038,-0.00168843935644,1.03119506197,0.0327444161803,-0.033018130476,0.0,461.153992127898,459.8186817837065,457.92053251868964,460.9224207114522
0.4200000000000001,0.00188046328192,-0.000546387080539,10.249867903,0.00303521598488,6.27556530788,0.0,0.0145661746159,-0.000269722956773,1.13576338714,0.0119684800488,-0.0472432525804,0.0,441.1501994948292,439.9734572574567,439.1635119542893,437.4372174833639
0.48000000000000015,0.0029302803911,-0.000493439677244,10.3219809291,0.00423986268623,6.27299478428,0.0,0.0207138249152,0.0021406410899,1.26786384667,0.0327094373796,-0.0352422221991,0.0,447.9553423055742,448.92903940580436,447.2617062503359,448.94754813208897
0.5400000000000001,0.00440393499748,-0.000264572126646,10.4022008579,0.00578528211029,6.27056372221,0.0,0.0286477708981,0.00568280362157,1.40597024505,0.00583606960084,-0.0539960983272,0.0,451.07822199513924,449.5604373900594,451.64494037863653,449.4726197439942
0.6000000000000002,0.00645252813779,0.000222617328733,10.4938724694,0.00625866467474,6.26765644428,0.0,0.0400109174918,0.0106060387144,1.64942570298,0.0117096138821,-0.0391995346958,0.0,481.35129609802857,482.4683305576247,482.2637754494865,482.7070556510283
0.6600000000000003,0.00923066973729,0.00101201316956,10.5988361421,0.00804216793374,6.26547966624,0.0,0.0528526294806,0.0158661643845,1.84905650065,0.0521344268123,-0.0310011891549,0.0,470.9819804361271,471.61505276398333,467.2860232695439,470.42668167503683
0.7200000000000003,0.0127960535237,0.00215255146975,10.7139740691,0.0107013746822,6.26385151824,0.0,0.0661763111929,0.0224709745181,1.9886352112,0.0201977993292,-0.0203512664407,0.0,453.02586615822054,453.88116058316444,453.07552652483486,450.50168033868596
0.7800000000000004,0.0171903958984,0.00373739917437,10.8372965086,0.0116772285218,6.26225375856,0.0,0.0804427950695,0.0304731500105,2.1218701195,0.00693071341575,-0.0437426287614,0.0,452.20830518840694,450.31998231628864,451.62674727548284,450.55537065935886
0.8400000000000004,0.0224510452694,0.00580390800056,10.9672150533,0.0119428129543,6.25927588126,0.0,0.0951848929055,0.0384430740693,2.2085770245,-0.00112301477445,-0.0652626777635,0.0,437.8164891177514,436.0206606623077,437.65437950929896,436.98349502852653
0.9000000000000005,0.0287087355454,0.00837537233109,11.1042802868,0.0117429566065,6.25580256246,0.0,0.113798810038,0.0472544580466,2.35995271441,-0.00815971317344,-0.0461804822956,0.0,456.4399926960137,457.95792785476414,458.3248317386896,457.76531608221126
0.9600000000000005,0.0361350292113,0.0114613488166,11.2496948177,0.010711086918,6.25362409194,0.0,0.133993514682,0.0555426478009,2.48692268722,-0.0495420779817,-0.0216011206937,0.0,449.45834671311036,451.4452250691481,452.8005426069013,449.4590613564875
1.0200000000000005,0.044840441029,0.0150213355109,11.4036189178,0.00791975781387,6.25291829675,0.0,0.156280995904,0.0628024421137,2.64353029734,-0.0410807325975,0.00290677289107,0.0,459.4749153116483,461.4138123409253,460.086517358988,460.7547063022864
1.0800000000000005,0.0549568008883,0.0189720805082,11.5690447513,0.00506006499188,6.25340046692,0.0,0.180872468341,0.0685697571528,2.87012564368,-0.065986742016,0.0167079770706,0.0,481.91163008296826,482.9535810909086,482.2273010167932,480.3409320617737
1.1400000000000006,0.0664757957379,0.0231836093706,11.7461255848,0.00105706431833,6.25447613089,0.0,0.202965262504,0.0713699885744,3.03215757948,-0.0682172681402,0.020261843554,0.0,463.35540588001936,463.6346276659866,464.42881770796055,464.25072483495023
1.2000000000000006,0.0792469301151,0.0274718341503,11.9312418956,6.28012358783,6.25581248347,0.0,0.222598548504,0.0711480847743,3.138104544,-0.069518303105,0.0260174806987,0.0,447.2805089586475,447.74903107221127,447.76696615645966,447.6575868613256
1.2600000000000007,0.0932252212424,0.0316522657152,12.1248806309,6.27598515455,6.25755452096,0.0,0.243141658853,0.0677296681165,3.3160241851,-0.0679072440454,0.0344705566581,0.0,470.016715294039,470.6715804195391,469.76963202676694,469.8912203271148
