episode,rewards_total
210,-22.1663481403
211,-21.516021622
212,-23.023405066
213,-21.5413162447
214,-19.4019774645
215,-22.5911958798
216,-31.6242411131
217,-21.7961309892
218,-21.0790927117
219,-22.0867586539
220,-21.8045202311
221,-21.1313399759
222,-22.542013465
223,-21.5479031687
224,-21.7902443164
225,-22.3539779429
226,-87.6263705124
227,-80.1049211609
228,-19.3355213758
229,-2866.12429326
230,-2561.63001029
231,-2494.51461983
232,-2178.408736
233,-2445.43570968
234,-2227.72580752
235,-2555.62683834
236,-2570.19339354
237,-2367.4563384
238,-21.4567547415
239,-21.5487071208
240,-21.3300177547
241,-21.770524709
242,-20.8606243091
243,-21.8074684334
244,-21.9456537846
245,-22.4113231002
246,-20.9223535418
247,-20.8541602778
248,-21.5769874502
249,-22.4377327413
250,-22.144106779
251,-22.496915669
252,-21.5056007522
253,-22.387836629
254,-21.2475438895
255,-21.8417469169
256,-22.5739749722
257,-22.6820420888
258,-21.4845249599
259,-22.6882918
260,-22.7190572171
261,-22.5682408344
262,-21.8200055534
263,-22.8713183572
264,-21.7156059633
265,-21.6080812073
266,-22.1821322724
267,-22.1771720755
268,-22.8904174518
269,-20.9875205216
270,-21.9382670748
271,-21.718757332
272,-22.3772292789
273,-22.1512159437
274,-22.0555002929
275,-21.4146815748
276,-21.873930542
277,-21.4287310744
278,-21.4742117488
279,-21.9330732879
280,-21.8886160645
281,-22.2869537207
282,-22.6711047894
283,-21.602679896
284,-21.8394474862
285,-21.8397270458
286,-20.7207874882
287,-21.6831549039
288,-21.9051591342
289,-22.7530849837
290,-22.2441698836
291,-22.4866349526
292,-21.8504545973
293,-22.4381645345
294,-22.4224693145
295,-22.6145944703
296,-22.2261180859
297,-21.4407016155
298,-21.9349225296
299,-21.6155168119
300,-21.7114635012
301,-22.1849685176
302,-21.7013732873
303,-21.4959817615
304,-22.0887377179
305,-21.9107057553
306,-21.3174803008
307,-21.5711672031
308,-20.2026623032
309,-21.6369673275
310,-21.4710456198
311,-22.506302071
312,-22.3432929542
313,-21.6949003554
314,-21.8729906254
315,-20.897692295
316,-22.7170004104
317,-23.365139887
318,-22.0988367188
319,-22.1141930478
320,-20.9893812061
321,-21.5972444356
322,-22.6135059206
323,-22.0746411512
324,-21.9087191508
325,-22.0001854729
326,-21.8959248644
327,-22.2411928316
328,-22.6499625132
329,-21.6947008318
330,-21.4275566964
331,-22.460054997
332,-21.9221449373
333,-21.3822786159
334,-21.769429453
335,-21.4047237072
336,-21.4905463856
337,-21.2370314542
338,-22.9924123763
339,-21.3908331619
340,-21.7287962
341,-22.1359405489
342,-22.3563645569
343,-21.2722867457
344,-22.0755735623
345,-21.2515618163
346,-22.2147888266
347,-22.2820808956
348,-22.7996606195
349,-22.2308487287
350,-22.842820144
351,-22.0999490397
352,-22.7353444604
353,-22.0757443701
354,-22.3363052744
355,-21.8518498719
356,-21.5558908436
357,-21.8079828591
358,-24.0554233199
359,-22.6544142467
360,-22.063508579
361,-22.1682641841
362,-21.7009418092
363,-21.8053019892
364,-21.7508165029
365,-22.2623588059
366,-21.5678638489
367,-22.6521899855
368,-21.9004906002
369,-21.7229553763
370,-21.8611247984
371,-23.1123669889
372,-22.3445157667
373,-21.3035547588
374,-21.9393415118
375,-22.3946722857
376,-21.3388801071
377,-21.1519805396
378,-22.1717859081
379,-22.0490032524
380,-21.9874059112
381,-22.1290723695
382,-22.9544982919
383,-22.2871269373
384,-21.0195601976
385,-21.8445636877
386,-22.7487395633
387,-22.6953934009
388,-22.4529187879
389,-21.8437172499
390,-21.6009331262
391,-22.1886536063
392,-21.5133533507
393,-22.2956528466
394,-22.6483943432
395,-20.933590513
396,-22.4951487969
397,-22.8760065064
398,-22.2203139959
399,-23.1748142773
400,-21.4525732974
401,-21.2355408182
402,-21.2246161672
403,-22.3605319999
404,-22.3274500734
405,-21.4856172253
406,-22.2313944516
407,-21.4251034011
408,-22.5461967931
409,-21.5058637337
410,-21.8766170607
411,-20.654599551
412,-22.6361308158
413,-22.396317882
414,-21.4505991539
415,-22.5280653465
416,-22.5865350005
417,-22.2528111299
418,-21.5073004423
419,-21.8503970251
420,-21.602861473
421,-22.2012665674
422,-21.0552084605
423,-22.4740460762
424,-21.4644068492
425,-21.8306316687
426,-22.4849555219
427,-22.7936266978
428,-22.5621131996
429,-21.9451789743
430,-20.5046421709
431,-21.9773430417
432,-21.9626799638
433,-21.266855316
434,-21.398705363
435,-21.9775939918
436,-22.261729253
437,-22.1160321921
438,-22.1265758848
439,-22.6841116948
440,-22.6949248602
441,-21.6533475896
442,-21.929069503
443,-22.5429002527
444,-20.8499864372
445,-22.7753130097
446,-21.9568841611
447,-21.4325686018
448,-22.0530262236
449,-21.6145194212
450,-21.6679659556
451,-22.118737247
452,-20.7072999093
453,-22.6339206209
454,-19.9630208529
455,-21.8135055633
456,-20.9356883584
457,-21.7542094703
458,-21.8539797868
459,-22.2363947675
460,-22.1505659389
461,-22.4515209691
462,-21.8902163419
463,-21.2326295882
464,-22.0532216982
465,-21.2166797939
466,-22.3464432326
467,-21.2386100515
468,-21.7870939972
469,-21.7026008669
470,-21.547627728
471,-21.8273073581
472,-21.0301058473
473,-22.8540228402
474,-22.296153702
475,-21.9565024327
476,-22.0898124239
477,-21.864897278
478,-22.0011621036
479,-21.8951680064
480,-21.7387512618
481,-21.6409297651
482,-21.4521141448
483,-22.2665433234
484,-22.4113954493
485,-21.4703713768
486,-22.0380906599
487,-22.3790321238
488,-22.346238293
489,-20.959538553
490,-20.9326652924
491,-22.2326001423
492,-21.266658428
493,-21.8352364498
494,-22.4195814167
495,-21.0359795779
496,-22.3581437215
497,-23.1295335808
498,-22.9625813362
499,-22.4221510169
500,-22.2751547119
501,-22.550022673
502,-21.4265040161
503,-21.8997936508
504,-22.1217798575
505,-22.0845342392
506,-21.2330704787
507,-22.9987488033
508,-22.1913123479
509,-22.3390503872
510,-21.2984937232
511,-23.1527544225
512,-21.609874835
513,-22.3892061693
514,-22.0179140978
515,-22.3169523288
516,-20.8488714817
517,-22.7112301521
518,-21.864492692
519,-22.2120490904
520,-22.2346677846
521,-21.692614355
522,-21.753169536
523,-22.1293214794
524,-21.1371941869
525,-22.3337971885
526,-22.0351258963
527,-21.8739820894
528,-21.5727422133
529,-21.9576057714
530,-21.4786421061
531,-22.1824123366
532,-21.7197403122
533,-21.8016003604
534,-22.4036058831
535,-22.1484480232
536,-21.995272092
537,-22.0082423767
538,-22.3434071982
539,-21.9278078253
540,-22.1964334775
541,-22.5861660325
542,-21.9153591714
543,-21.3783642108
544,-22.1400091462
545,-21.2419572166
546,-21.9957494951
547,-21.875278749
548,-21.0508165914
549,-21.3987937693
550,-21.9533293553
551,-21.7878378221
552,-22.0143037184
553,-21.8552287577
554,-23.162968628
555,-22.3526075847
556,-22.8265469441
557,-22.2991867399
558,-22.3761979601
559,-21.4582983496
560,-21.9066601666
561,-22.1808639954
562,-22.8180722687
563,-22.3632428321
564,-22.5465014304
565,-21.1183273991
566,-21.8880562448
567,-22.7777310912
568,-21.8606872721
569,-22.0332246346
570,-22.1664479046
571,-21.4640963368
572,-21.4043164784
573,-22.1975133599
574,-22.2899775048
575,-20.704646536
576,-22.9039624787
577,-21.5362978517
578,-22.3600516209
579,-21.7012903282
580,-20.9773436945
581,-21.6294143924
582,-22.1651362777
583,-21.5841565119
584,-22.1481917011
585,-22.5738775172
586,-21.7762005601
587,-21.5355919268
588,-22.1209819338
589,-21.2017651842
590,-21.0945678676
591,-21.9975526329
592,-22.1512539008
593,-22.4516098756
594,-22.4092441307
595,-22.5717622287
596,-20.9363916423
597,-21.4846293897
598,-22.1864508521
599,-21.8315069375
600,-22.4682731927
601,-22.6600517272
602,-22.0354824277
603,-21.9584066565
604,-21.5530566777
605,-21.4550973521
606,-22.2541512151
607,-21.1198649117
608,-22.5715594596
609,-21.8544654003
610,-21.7303310757
611,-23.0651444327
612,-21.8345020706
613,-21.2983343881
614,-21.6586565485
615,-21.501625981
616,-21.7737128945
617,-21.1958037382
618,-22.2876549146
619,-22.7958990253
620,-22.6324944285
621,-23.0516051868
622,-21.8584830381
623,-21.9998567614
624,-21.934577154
625,-21.8073780166
626,-22.1908541675
627,-21.6843568223
628,-21.1182164907
629,-21.9854640396
630,-21.6512854818
631,-22.2781296607
632,-22.0824964982
633,-22.1112285598
634,-21.192526661
635,-21.1841017997
636,-22.2441639318
637,-22.3336450452
638,-21.6117369194
639,-22.6790677874
640,-22.0736537228
641,-22.0708982389
642,-22.4471445145
643,-22.4391552241
644,-22.7521802048
645,-22.6853113915
646,-21.486930244
647,-21.0474562654
648,-21.9735851987
649,-22.0102224751
650,-21.5124585072
651,-21.7252353683
652,-21.2864295671
653,-22.2563365362
654,-21.3812868158
655,-21.2183103423
656,-21.7680979576
657,-22.8519877845
658,-22.5935486772
659,-21.4571854939
660,-23.1123502071
661,-20.9586244247
662,-22.6020826298
663,-22.1093567489
664,-22.158594135
665,-22.689590441
666,-22.1952957224
667,-21.9573550589
668,-22.06919524
669,-22.4947734743
670,-21.7799867945
671,-22.3681293054
672,-21.3176647456
673,-21.7056453101
674,-22.3403047114
675,-22.0900976516
676,-21.7372824569
677,-20.9631321835
678,-21.2954019818
679,-22.2550059162
680,-21.5017486626
681,-21.5006139472
682,-20.3624489498
683,-21.8041925822
684,-21.7567876038
685,-21.8845810498
686,-22.4794945126
687,-23.0213732369
688,-22.1814714993
689,-21.4917242489
690,-21.9727053292
691,-22.428305466
692,-20.7062209661
693,-21.9785653287
694,-23.3649411109
695,-21.7422258207
696,-21.2393365751
697,-21.2915422363
698,-21.6238493778
699,-21.5682261155
700,-22.4092461436
701,-21.3775692693
702,-20.83685576
703,-21.3066092279
704,-21.4023162947
705,-22.4351093127
706,-22.2282362284
707,-21.8354914526
708,-21.8068712433
709,-22.0005489091
710,-21.510993399
711,-21.2005649238
712,-21.9138197609
713,-22.1265555223
714,-22.4904659968
715,-21.5982243059
716,-21.9014336105
717,-22.292705474
718,-22.0916441565
719,-22.1440187532
720,-22.3467236908
721,-22.2279315351
722,-22.2288853592
723,-21.1221581736
724,-21.3415892625
725,-21.6148996046
726,-21.9238151139
727,-22.3451004308
728,-22.3090648034
729,-22.4873558342
730,-22.1384748846
731,-21.7391318013
732,-22.1562203584
733,-21.051130669
734,-22.2633207768
735,-21.5961804906
736,-22.2834583359
737,-22.0055864619
738,-22.5524356134
739,-21.5975607264
740,-21.6226249454
741,-21.306351068
742,-21.8777273868
743,-22.2466578529
744,-21.7289849057
745,-22.3501289138
746,-22.3148553003
747,-21.7248341429
748,-22.2268200999
749,-21.4410872266
750,-22.4276774894
751,-21.7801472204
752,-22.0082917167
753,-22.1467857004
754,-22.3850507361
755,-21.91323348
756,-21.7063835321
757,-22.1000583987
758,-22.2421904138
759,-21.6954738264
760,-22.0497888718
761,-22.5052288816
762,-22.0622553993
763,-22.7357928006
764,-22.3608918057
765,-22.0908467402
766,-21.7576120022
767,-22.4610817745
768,-22.5337218211
769,-21.876369992
770,-22.0288441732
771,-21.6273855452
772,-22.4412300792
773,-21.7532740462
774,-21.6330420838
775,-22.116301339
776,-22.8572042455
777,-22.5575610291
778,-21.3525167399
779,-23.1024243331
780,-21.9365935664
781,-21.2277739863
782,-22.8681676473
783,-21.5936765049
784,-22.0020899452
785,-21.9225857149
786,-21.27559249
787,-21.6392648199
788,-22.8825784408
789,-22.1385911466
790,-22.2395538353
791,-23.1175974091
792,-21.6713341681
793,-20.9912546684
794,-21.5268234674
795,-21.8399139016
796,-22.1717007246
797,-21.6865697252
798,-22.2584932327
799,-21.5848996036
800,-22.1560673234
801,-22.3490928899
802,-22.4439007306
803,-21.1904063089
804,-21.4230317933
805,-22.3716302984
806,-21.9642794154
807,-22.0405044812
808,-22.0921816558
809,-21.610542919
810,-22.0937245795
811,-22.4141888551
812,-21.8569016405
813,-21.320555815
814,-22.1691082921
815,-22.4699934096
816,-21.3727656281
817,-22.2964470419
818,-23.1501650067
819,-21.8728828239
820,-22.0614274656
821,-21.9442385311
822,-21.571090855
823,-21.9213713819
824,-21.9262583991
825,-21.4483762751
826,-23.053878226
827,-23.1718130555
828,-20.9226027671
829,-21.8557403616
830,-22.0086713137
831,-22.4633043948
832,-21.0776565912
833,-22.5306884661
834,-21.8086899228
835,-21.6095114771
836,-21.896232655
837,-21.9184787979
838,-22.3059810821
839,-21.1993750395
840,-21.7221080289
841,-22.2791330946
842,-21.6223577403
843,-22.3942095638
844,-21.3103068686
845,-21.831495719
846,-21.6241046837
847,-21.6225741307
848,-21.5109086564
849,-21.6128145181
850,-22.8995268717
851,-22.0905078607
852,-22.8267678811
853,-22.6897291953
854,-21.7641807902
855,-23.1433759575
856,-21.7795434363
857,-21.2925580069
858,-21.771393785
859,-21.8398173295
860,-21.8302383083
861,-22.064279228
862,-20.5926059866
863,-21.7297630912
864,-21.6463786478
865,-21.7306296668
866,-21.9749220061
867,-21.2578399054
868,-22.5143581345
869,-21.3547220387
870,-22.3094290774
871,-22.7968975431
872,-22.3714682773
873,-22.3035451842
874,-22.6933915264
875,-21.9559678929
876,-22.0101800232
877,-20.8841013271
878,-21.9104673355
879,-21.1593125158
880,-21.5895274532
881,-21.7397407669
882,-21.7255947356
883,-21.9236281597
884,-21.6473274728
885,-21.5864743461
886,-21.9785625786
887,-21.5203905054
888,-22.2398785552
889,-22.7553122618
890,-21.8855582516
891,-22.1415544715
892,-22.9410231608
893,-22.0899877992
894,-21.7756795246
895,-22.3006604485
896,-21.7401449243
897,-21.6854648825
898,-21.754038507
899,-22.8429301939
900,-21.6262766221
901,-21.4988653446
902,-21.1053332856
903,-21.8390873062
904,-22.3575974725
905,-22.8145898485
906,-20.9053214495
907,-22.6543628182
908,-21.7213913241
909,-22.681223325
910,-22.4009113126
911,-22.2409993328
912,-21.94414057
913,-21.2193532946
914,-21.7670589859
915,-22.2353947505
916,-22.1217321398
917,-21.9539637809
918,-21.2642605559
919,-22.245192007
920,-22.1967712125
921,-22.4069686345
922,-22.0484463158
923,-21.4151583945
924,-20.8994022945
925,-21.6234551681
926,-20.9869568137
927,-21.9372241594
928,-22.0207894179
929,-22.3944903681
930,-22.3105527837
931,-21.3954102001
932,-21.8734198894
933,-21.2046143574
934,-21.6076396179
935,-20.9036524594
936,-21.7468674574
937,-22.4694734945
938,-21.8047605717
939,-21.9800675902
940,-22.2694089814
941,-23.2342527888
942,-21.6726513403
943,-21.5815763672
944,-22.2017475935
945,-22.1541068303
946,-20.7889156412
947,-22.1535384823
948,-22.2285194348
949,-22.6851727061
950,-21.8813372315
951,-23.2428864456
952,-20.7228785758
953,-21.794488814
954,-22.2655465844
955,-21.770893221
956,-21.8383289198
957,-21.6434203916
958,-21.0577396648
959,-20.9456265992
960,-21.8155131153
961,-21.8298900701
962,-22.0795734061
963,-21.4876369886
964,-21.7335241893
965,-22.4682564002
966,-21.8359298726
967,-22.4037608281
968,-22.1866666279
969,-21.522926847
970,-21.4580150018
971,-22.3028489513
972,-21.7697283081
973,-20.8392604191
974,-22.8444536572
975,-21.766064104
976,-20.9168688763
977,-22.7811285421
978,-22.0427328057
979,-21.7087870811
980,-22.7170780041
981,-21.0140633594
982,-21.3803801333
983,-22.3040743988
984,-21.117982608
985,-22.0256880391
986,-22.2126762679
987,-22.0677898185
988,-21.6330888593
989,-22.4171649458
990,-21.6576881758
991,-22.1906022921
992,-22.3780981153
993,-21.3200633326
994,-22.2587956604
995,-21.2545958812
996,-21.6844774427
997,-22.7155201308
998,-22.7039170891
999,-23.090475474
1000,-22.0322850277
